base_cake,truffle_type,primary_flavor,secondary_flavor,color_group,ebit_per_hr
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.9593130243692383
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.9497880376099729
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.931088012555864
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.9274380433191413
Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.9232587026600538
Tiramisu,Candy Outer,Chocolate Mint,Lemon,White,0.917202705142581
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.9119365162021982
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.908574141372655
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.8999899694924945
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.892668257390847
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.8925627940011415
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.8776934229738106
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.8729913759485136
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.8704437459599844
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.8671896845035753
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.8592631704833442
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.8584389564778515
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.8553862774568488
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.8543305221047052
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.8507874961792636
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.8498283670980565
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.8484254391860393
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.8452003809335805
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.8435853708040274
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.8419602592107976
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.8410460955454747
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.8370408399620471
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.8331420009515973
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.833099852920672
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.8292459678471011
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.8270532063010179
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.8251896411302889
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.8249259502553948
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.8247077663434553
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.8215778434903807
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.8192062292771224
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.8166768847838206
Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.815866647046371
Tiramisu,Candy Outer,Cherry Cola,Lemon,Taupe,0.8108375870804617
Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,0.8100303953748234
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.8070079096510789
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.7982175588534107
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.7960216266462482
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.7930645289780007
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.7924126955688353
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.7871915468247026
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.7864314020933061
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.7862897380530544
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.7821298459926513
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.7817322377502564
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.7776886123995654
Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,0.7750989309449753
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.7742123271554758
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.7737294660646233
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.7729269334392332
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.7683781148795328
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.7666436000734697
Tiramisu,Candy Outer,Cherry Cola,Lemon,Taupe,0.7659895533444111
Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.761173670256607
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.7602890142721013
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.7555605054577609
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.7549171253878939
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.7533854718082308
Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.7531441123882163
Tiramisu,Candy Outer,Chocolate Mint,Lemon,White,0.7520686732339641
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.7495412881769865
Tiramisu,Candy Outer,Butter Pecan,Mango,Tiffany,0.7491415618142068
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.7490829209029978
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.7489648987581004
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.748063756396689
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.7462637066993197
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.7443619579835746
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.7425956187148357
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.7412979973467438
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.7370570842058984
Tiramisu,Candy Outer,Butter Pecan,Mango,Tiffany,0.7346906538628033
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.7325725627498251
Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,0.7315154859927447
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.731490542625546
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.7288986552154294
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.7273306259849539
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.725519935758495
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.724863726980737
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.723518463975966
Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.7197154891845323
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.7162168322209764
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.7157115922298478
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.7136004463840443
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.7133545603203874
Tiramisu,Candy Outer,Butter Pecan,Mango,Tiffany,0.7090389370405361
Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,0.7068695967903119
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.7059723294064951
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.7031508621054021
Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,0.70263492767625
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.6978041542706869
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.6967085437215857
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.696324550596738
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.6956626298170373
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.6946205260768458
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.6937629449364318
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.6926069939032176
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.6908862176861094
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.683209142608927
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.6817207590965805
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.6816893382456359
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.6806711789845304
Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,0.6778502125332265
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.677225119597838
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.6768495797132399
Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,0.6755393009634243
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.6736284526138122
Tiramisu,Candy Outer,Chocolate Mint,Lemon,White,0.6721468119428051
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.6711124018371234
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.6700667924514293
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.6676348159788591
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.6670478133878917
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.6653094712675455
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.6648820659273044
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.6633549501943263
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.6585523943280673
Tiramisu,Candy Outer,Chocolate Mint,Lemon,White,0.6579977116184885
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.6570835275194156
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.6533750960497731
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.6462090133865963
Tiramisu,Candy Outer,Butter Pecan,Mango,Tiffany,0.643570074318854
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.6407321546185255
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.6403512545574321
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.637398303834728
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.632798388771247
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.6325130510561772
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.6289247203481289
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.6287263851663308
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.6273199573346463
Tiramisu,Candy Outer,Cherry Cola,Lemon,Taupe,0.6248779951021833
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.6214640735797758
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.6199655333807687
Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.6199245022567976
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.6187196488596068
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.6187150857899468
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.6147485255558153
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.6143297564665233
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.6134509347220951
Tiramisu,Candy Outer,Chocolate Mint,Lemon,White,0.6130894375501119
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.611217647419175
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.6099666246726074
Tiramisu,Candy Outer,Butter Pecan,Mango,Tiffany,0.6098826571704339
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.6092395965168473
Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,0.6089239834900494
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.6077575449107884
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.6065596634544902
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.6032851859378606
Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.6026506910815641
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.6021904439514674
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.6014932735465185
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.5985519490210394
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.5983396202594055
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.5952706085839018
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.594344080997404
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.5941896826020545
Tiramisu,Candy Outer,Cherry Cola,Lemon,Taupe,0.5935420544675462
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.5904345569108367
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.587131504280437
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.5858944175279422
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.5857469561022491
Tiramisu,Candy Outer,Butter Pecan,Mango,Tiffany,0.5840517707053348
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.5832958087446475
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.5818156486037389
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.5814794995732414
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.5788348076194345
Tiramisu,Candy Outer,Butter Pecan,Mango,Tiffany,0.578338293649304
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.5765853892115429
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.5742086131314112
Tiramisu,Candy Outer,Butter Pecan,Mango,Tiffany,0.5731655493198041
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.5731076778128668
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.5716057104269007
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.570248683566352
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.5696148660587103
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.5668312956644974
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.5666766038916328
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.5665122605876423
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.5662863254037863
Tiramisu,Candy Outer,Butter Pecan,Mango,Tiffany,0.5638673146767084
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.5608066903988022
Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.560421931316229
Tiramisu,Candy Outer,Chocolate Mint,Lemon,White,0.5594404923021894
Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.559222701402587
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.5583692334064189
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.5583346263428982
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.5568809331128183
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.556715130098212
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.5565897633312971
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.556436125636487
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.5562052823981943
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.555431488677263
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.5544042340196565
Tiramisu,Candy Outer,Cherry Cola,Lemon,Taupe,0.5543161279166896
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.5542479268619696
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.5501918676677661
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.5491071591696687
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.5486011114973056
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.5476962794288898
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.5473946433533625
Tiramisu,Candy Outer,Butter Pecan,Mango,Tiffany,0.5453704934017796
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.5450837696203474
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.5437188491993805
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.5422529501934336
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.540841589904827
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.5406907273428363
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.5405698369946101
Tiramisu,Candy Outer,Chocolate Mint,Lemon,White,0.5402539972539414
Tiramisu,Candy Outer,Cherry Cola,Lemon,Taupe,0.5396949318668575
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.5395880351787478
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.5386689067818691
Tiramisu,Candy Outer,Butter Pecan,Mango,Tiffany,0.5372825267317342
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.5367112940600365
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.5366216347793863
Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.53443177973289
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.5331996474234824
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.5329989415678222
Tiramisu,Candy Outer,Butter Pecan,Mango,Tiffany,0.5325493926963355
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.5321665559664608
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.5305532830885611
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.5304315384097157
Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,0.5289785690186579
Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.5286799730614036
Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.5277145054518498
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.5274776471327781
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.527317827552446
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.5269959919983439
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.5268902672319395
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.5261439195158047
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.5258127664962
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.525156426330641
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.5248695564472385
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.5246900438533221
Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,0.5240816907612934
Tiramisu,Candy Outer,Butter Pecan,Mango,Tiffany,0.5240663744239644
Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.521791816831895
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.520321601976931
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.5195862881075376
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.5145882163547528
Tiramisu,Jelly Filled,Amaretto,Vanilla,Citrine,0.5142789288486672
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.5126889313651815
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.5109562897497841
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.5098633438448386
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.5094568754515666
Tiramisu,Jelly Filled,Amaretto,Vanilla,Citrine,0.5084473351929082
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.5083357152091088
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.5077392687834005
Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.5010720284801481
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.49993151095050997
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.49866528258119536
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.49837652738305516
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.4982417507129271
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.49715426611712493
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.49521230860564713
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.49416241660247484
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.4937027351007814
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.4936867425132946
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.4923540555924472
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.492273760913175
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.4916772365084468
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.4903052373971341
Tiramisu,Candy Outer,Butter Pecan,Mango,Tiffany,0.4885753653039356
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.4877737506741941
Tiramisu,Candy Outer,Chocolate Mint,Lemon,White,0.4872766967435943
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.4872347230444132
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.48694177503376895
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.48589671582159505
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.4856453823391461
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.4853289687402495
Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.4842186520871187
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.4835659317146241
Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.48300464118760195
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.48023874055979127
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.479749300414921
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.47869221930733913
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.47800249270158396
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.4775365892318581
Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.4767679587158026
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.4764296244103084
Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,0.4763638916685468
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.4762159057312629
Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.4755910592118154
Tiramisu,Candy Outer,Butter Pecan,Mango,Tiffany,0.47361357934735937
Tiramisu,Candy Outer,Chocolate Mint,Lemon,White,0.47231745672396547
