base_cake,truffle_type,primary_flavor,secondary_flavor,color_group,line,rate
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.29678383478097314
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.5076581433956603
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.23284861123048234
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.5722473726044762
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.1072933828993824
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.2623748104554239
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.26838408262132013
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.09757082520484561
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.23616662066649832
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.17943165004846798
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.2340989711661533
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.5530278644380863
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.18921557717051588
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.040523795489912195
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.3368806312326126
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.37001534138112546
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.22862312147957545
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.10698417433551446
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.13767104296885618
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.16125506238212622
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.4925349400068725
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.13592531133534214
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.4145709529108411
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.14279160389610437
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.25739516804401996
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.17750439387657752
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.23745181253525524
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.3188142062370777
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.047111386821966264
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.29309744923464015
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.21329731551592435
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.04809028694956648
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.30340340936748933
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.010555699679996602
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.08288906441564221
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.08737559525678253
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.25960835738361254
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.0766492726797527
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.10986027266381378
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.013146098128484981
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.20884874271265047
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.08957314406676135
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.09941352440281236
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.3512624693884365
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.32417844061264206
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.010985794054103673
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.22331152746260224
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.22367383714205571
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.30762595881223365
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.1105509813928542
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.19272918224045485
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.25981240990405524
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.06912014085614017
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.09551402916175597
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.22591259159517713
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.09980378884330877
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.11176748727622164
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.10727156943240894
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.25682126164769925
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.06606689783237503
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.1705292051337925
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.28000364205953804
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.20445514035907347
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.11694835539038927
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.12952899646976085
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.07284673800216514
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.22944733455112865
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.08597205928705925
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.09344207369612369
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.0362671294190267
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.16599952202785695
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.09821131289894942
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.14603462952803228
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.2572986133281941
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.18482936246081574
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.28502088864119396
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.022374767013061833
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.2450327868860112
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.05025751532924223
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.35441041688814134
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.033142185530142323
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.1310943947090082
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.10820522835795808
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.020740037786354956
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.14233110333012913
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.1195609175143433
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.14265229094751825
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.08926602510768766
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.009687377988681939
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.08812436418700692
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.2830240254497293
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.1169874096810662
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.10510489303110711
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.29911771015231053
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.16085118893669642
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.16935649148688514
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.12869326753260846
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.24811424765100581
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.04148290026987761
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.31444568667803785
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.3709768900658156
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.07461016235818298
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.08849590391024806
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.31347452174100554
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.1837043487223958
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.24536201569276217
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.2687871748983282
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.1842977787234324
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.3473098718106105
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.020761055578806087
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.021371866512591833
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.12260074616610943
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.05542935238508108
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.12418119641556909
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.0005590872768279909
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.45439289177669695
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.02752467024774763
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.08150501703042666
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.22333929377045028
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.15718894087414587
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.320382955340881
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.13879739276512099
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.04270699110237014
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.13739614444671056
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,-0.04724275840477078
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.3010212192587715
Chiffon,Chocolate Outer,Coffee,Pear,Opal,R,0.34850096760479765
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.14803255448544378
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.11072244972033934
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.2644899113000989
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.5730877976759564
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.41007715712180304
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.20644631404396077
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.4009591929906883
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.11650537423505691
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.1894714105008429
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.48534929587402564
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.43343162760440174
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.22569764156986544
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.7116011226364539
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.31105261783641486
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.27061981395598206
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.204764714709073
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.49771011351068895
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.17008787006144543
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.652860848424679
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.5132943705556544
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.3325839085983615
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.7010829408807537
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.5439072830097026
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.3987653769248219
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.5855198627139004
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.6082740990150346
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.7431557870535981
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.2652385271965686
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.3035307703811106
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.3745651059287803
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,-0.06663559445526424
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.5736067723621949
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.31582910801683717
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.2975910296990339
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.4195193154748941
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.2763394966860442
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.17503360405573956
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.4946426465695887
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.37918238230262563
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.25344350864579035
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.4456106347556775
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.16976705158489447
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.5908322653277209
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.14738473173930372
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.23780938893894404
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.23821296832697494
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.49999744916610045
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.3376983692306182
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.6163632188250086
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.2580503393113691
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.3650169058825981
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.2963964294278737
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.38443807014886183
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.5747243892279479
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.41108395768740597
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.44584360614510593
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.49522279933211166
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.2686278015106668
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.6851110349061915
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.10111344309920223
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.46911700070192835
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.14414870325592122
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.8425453328708314
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.4793076941139264
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.432594835776364
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.07755142284900796
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.3968742129405749
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.4551037154269942
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.5132161465266731
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.2609551683092159
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.38497834588114216
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.5472896367688899
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.4540766749018763
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.26000899737237393
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.6984884214012268
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.3105752014139358
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.2342037091475794
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.149608947529531
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.4467435435860634
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.41292643033357773
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.1094328675154525
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.18562978963919385
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.43151575510256046
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.3276284560670094
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.37383985614782317
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.3966003831876052
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.3763200813279977
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.5891682909244101
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.35009408437013334
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.23710482020170956
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.498663877161898
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.27612446794060225
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.25204505469851823
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.48995369336884115
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.5177407007008411
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.240862801992395
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.5607004281182786
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.0952090065300254
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.564972783434067
Cheese,Candy Outer,Watermelon,Tangerine,Slate,R,0.1757308321767939
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.6869529583611262
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.36130941484179235
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.6924689982981196
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.3521427967777548
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.36023289147188403
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.6137411730871043
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.3781475281658517
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.5891043592827665
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,1.2161950393244603
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.48364251383347495
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.37760296585540115
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.4007361555551679
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.42385862719772877
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.4870120195860476
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.38910139243561176
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.5010275172441563
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.4370563815738422
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.4425025218967876
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.45532182188699455
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.5394559819547439
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.38987126493920465
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.457628740838928
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.4128767972957094
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.4916421925300608
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.4133127351620411
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.3440492766358937
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.8865429660641824
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.3662131445359621
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.35105209450769237
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.4560475830853384
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.35623732327965796
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.35210740327925166
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.8405723644179235
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.39459218630301224
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.4376540569865156
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.3533898697606784
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.3806349100851735
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.6982627002235051
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.3472316015002973
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.3973894508589268
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.4149340877763986
Cheese,Candy Outer,Lemon,Apple,Citrine,Q,0.3770593410635208
