base_cake,truffle_type,primary_flavor,secondary_flavor,color_group,customer,date,kg
Tiramisu,Candy Outer,Gingersnap,Black Cherry,Black,Perk-a-Cola,2010-01-01,5308.877140934625
Cheese,Jelly Filled,Orange Brandy,Black Currant,Citrine,Perk-a-Cola,2010-01-01,16775.729389976834
Cheese,Jelly Filled,Dill Pickle,Passion Fruit,Rose,Perk-a-Cola,2010-01-01,32277.30189163098
Butter,Jelly Filled,Pink Lemonade,Kiwi,Opal,Perk-a-Cola,2010-01-01,16086.468309417762
Tiramisu,Jelly Filled,Pink Lemonade,Mango,Olive,Perk-a-Cola,2010-01-01,20735.31722477756
Sponge,Chocolate Outer,Dill Pickle,Tangerine,Amethyst,Perk-a-Cola,2010-01-01,5891.615317075137
Sponge,Chocolate Outer,Fruit Punch,Ginger Beer,White,Perk-a-Cola,2010-01-01,12307.804787153975
Pound,Candy Outer,Cheesecake,Cucumber,Burgundy,Perk-a-Cola,2010-01-01,3383.1975636398183
Chiffon,Chocolate Outer,Cherry Cream Spice,Whipped Cream,Black,Perk-a-Cola,2010-01-01,10447.891022738564
Butter,Chocolate Outer,Plum,Fuzzy Navel,Taupe,Perk-a-Cola,2010-01-01,35065.76435856884
Cheese,Jelly Filled,Vanilla,Tutti Frutti,White,Perk-a-Cola,2010-01-01,4875.502128241233
Butter,Jelly Filled,Wintergreen,Wild Cherry Cream,Slate,Perk-a-Cola,2010-01-01,24432.395480882933
Butter,Candy Outer,Watermelon,Dill Pickle,Amethyst,Perk-a-Cola,2010-01-01,10467.767725232223
Chiffon,Chocolate Outer,Ginger Lime,Egg Nog,Citrine,Perk-a-Cola,2010-01-01,37612.539459081156
Chiffon,Jelly Filled,Chocolate Mint,Whipped Cream,Amethyst,Perk-a-Cola,2010-01-01,6545.356187502106
Sponge,Chocolate Outer,Spice,Banana,White,Perk-a-Cola,2010-01-01,7065.56959862223
Cheese,Jelly Filled,Horchata,Tutti Frutti,Olive,Perk-a-Cola,2010-01-01,6074.604274684213
Sponge,Jelly Filled,Acai Berry,Rum,Slate,Perk-a-Cola,2010-01-01,10034.594013877557
Butter,Jelly Filled,Orange,Passion Fruit,Slate,Perk-a-Cola,2010-01-01,24990.776058118252
Chiffon,Candy Outer,Irish Cream,Hazelnut,White,Perk-a-Cola,2010-01-01,6313.973674021423
Cheese,Chocolate Outer,Birch Beer,Apple,Olive,Perk-a-Cola,2010-01-01,20421.969822852363
Butter,Chocolate Outer,Chocolate Mint,Papaya,Amethyst,Perk-a-Cola,2010-01-01,30291.99942504566
Butter,Candy Outer,Amaretto,Ginger Beer,Amethyst,Fickelgruber,2010-01-01,1352.2819781925957
Butter,Jelly Filled,Coconut,Rum,White,Fickelgruber,2010-01-01,2955.854912715271
Chiffon,Jelly Filled,Orange Pineapple	P,Papaya,Olive,Fickelgruber,2010-01-01,5824.8010981370435
Sponge,Jelly Filled,Acai Berry,Fuzzy Navel,Citrine,Fickelgruber,2010-01-01,4835.337138559566
Chiffon,Candy Outer,Acai Berry,Lemon,Olive,Fickelgruber,2010-01-01,1717.420081494264
Tiramisu,Chocolate Outer,Pink Lemonade,Mojito,Opal,Fickelgruber,2010-01-01,3379.663595800698
Chiffon,Candy Outer,Sassafras,Lemon,Burgundy,Fickelgruber,2010-01-01,590.967625453838
Sponge,Candy Outer,Vanilla,Rum,Opal,Fickelgruber,2010-01-01,3556.1374808476744
Chiffon,Candy Outer,Pecan,Ginger Beer,Slate,Fickelgruber,2010-01-01,5375.2475202034075
Cheese,Jelly Filled,Pink Lemonade,Apple,White,Fickelgruber,2010-01-01,636.9412545016169
Cheese,Chocolate Outer,Orange Pineapple	P,Banana,White,Fickelgruber,2010-01-01,3135.5340401899007
Cheese,Chocolate Outer,Wintergreen,Rum,Opal,Fickelgruber,2010-01-01,4743.018135176453
Chiffon,Candy Outer,Spice,Hazelnut,Olive,Fickelgruber,2010-01-01,2897.748232140936
Butter,Jelly Filled,Wild Cherry Cream,Kiwi,White,Fickelgruber,2010-01-01,2986.194417233936
Butter,Candy Outer,Coffee,Apple,Burgundy,Fickelgruber,2010-01-01,3366.56878131447
Pound,Candy Outer,Watermelon,Egg Nog,Burgundy,Fickelgruber,2010-01-01,2493.432529413632
Sponge,Jelly Filled,Kettle Corn,Butter Rum,Olive,Fickelgruber,2010-01-01,1176.1720587367768
Pound,Jelly Filled,Lemon Bar,Black Currant,Slate,Fickelgruber,2010-01-01,4423.673597060653
Tiramisu,Chocolate Outer,Dill Pickle,Rum,Black,Fickelgruber,2010-01-01,2908.0081588726284
Chiffon,Chocolate Outer,Kettle Corn,Mixed Berry,Rose,Fickelgruber,2010-01-01,3446.653080930696
Pound,Candy Outer,Apricot,Banana,Teal,Fickelgruber,2010-01-01,3682.029022320503
Cheese,Candy Outer,Butter Toffee,Hazelnut,Black,Fickelgruber,2010-01-01,4472.98849739156
Chiffon,Chocolate Outer,Lemon,Cucumber,Tiffany,Fickelgruber,2010-01-01,1450.5443516496225
Tiramisu,Candy Outer,Gingersnap,Butter Rum,Tiffany,Fickelgruber,2010-01-01,4019.2133516538856
Cheese,Jelly Filled,Ginger Ale,Rum,Opal,Fickelgruber,2010-01-01,752.7773806208404
Pound,Jelly Filled,Margarita,Papaya,White,Zebrabar,2010-01-01,3153.9533460258626
Sponge,Chocolate Outer,Pecan,Wild Cherry Cream,Black,Zebrabar,2010-01-01,1698.4713248494568
Butter,Chocolate Outer,Orange,Mango,Tiffany,Zebrabar,2010-01-01,3947.704444128198
Chiffon,Jelly Filled,Irish Cream,Apricot,Amethyst,Zebrabar,2010-01-01,1703.2993012577763
Sponge,Candy Outer,Caramel Cream,Tangerine,Opal,Zebrabar,2010-01-01,3442.298905716622
Pound,Jelly Filled,Lemon Bar,Toffee,Slate,Zebrabar,2010-01-01,1368.5734327326804
Pound,Jelly Filled,Cherry Cream Spice,Apple,Rose,Zebrabar,2010-01-01,3182.3861636196307
Cheese,Chocolate Outer,Butter Milk,Rum,Teal,Zebrabar,2010-01-01,5720.529432227566
Tiramisu,Jelly Filled,Lemon Custard,Banana,Teal,Zebrabar,2010-01-01,6665.949288619902
Pound,Jelly Filled,Grand Mariner,Mixed Berry,Olive,Zebrabar,2010-01-01,3600.7132740618076
Pound,Candy Outer,Cream Soda,Black Currant,Opal,Zebrabar,2010-01-01,1375.527275225768
Tiramisu,Chocolate Outer,Kettle Corn,Butter Rum,Citrine,Zebrabar,2010-01-01,2557.1908828207534
Tiramisu,Jelly Filled,Wild Cherry Cream,Mixed Berry,Citrine,Zebrabar,2010-01-01,1651.6842678680603
Tiramisu,Chocolate Outer,Bavarian Cream,Rum,Olive,Zebrabar,2010-01-01,4331.359387657036
Tiramisu,Jelly Filled,Lemon Bar,Vanilla,Amethyst,Zebrabar,2010-01-01,3877.954921862018
Cheese,Chocolate Outer,Watermelon,Black Currant,Teal,Zebrabar,2010-01-01,2025.9536530213404
Sponge,Candy Outer,Butter Milk,Hazelnut,Rose,Zebrabar,2010-01-01,623.9955311222285
Butter,Jelly Filled,Irish Cream,Tangerine,Opal,Zebrabar,2010-01-01,3981.687108287641
Pound,Candy Outer,Dill Pickle,Rock and Rye,Slate,Zebrabar,2010-01-01,879.0821715927907
Sponge,Chocolate Outer,Wintergreen,Ginger Beer,Slate,Zebrabar,2010-01-01,6076.617523056281
Butter,Jelly Filled,Fruit Punch,Papaya,Opal,Zebrabar,2010-01-01,5506.838813861165
Butter,Candy Outer,Toasted Coconut,Rock and Rye,Teal,Zebrabar,2010-01-01,2107.3800450027716
Chiffon,Candy Outer,Sassafras,Black Currant,Black,Zebrabar,2010-01-01,5201.015339254689
Chiffon,Jelly Filled,Cherry Cola,Apricot,Tiffany,Zebrabar,2010-01-01,6847.454554283977
Cheese,Candy Outer,Doughnut,Mango,Slate,Zebrabar,2010-01-01,7086.046064507271
Cheese,Chocolate Outer,Bavarian Cream,Papaya,Olive,Dandy's Candies,2010-01-01,20724.730385899464
Cheese,Candy Outer,Wild Cherry Cream,Kiwi,Burgundy,Dandy's Candies,2010-01-01,19125.64733794729
Sponge,Chocolate Outer,Apricot,Banana,Slate,Dandy's Candies,2010-01-01,16065.142572647808
Chiffon,Jelly Filled,Raspberry Ginger Ale,Mixed Berry,Taupe,Dandy's Candies,2010-01-01,24437.065457108216
Sponge,Jelly Filled,Chocolate,Egg Nog,Olive,Dandy's Candies,2010-01-01,18524.18114411935
Chiffon,Jelly Filled,Kettle Corn,Hazelnut,Rose,Dandy's Candies,2010-01-01,31160.356466171248
Chiffon,Jelly Filled,Wintergreen,Apple,Slate,Dandy's Candies,2010-01-01,17830.68526855044
Chiffon,Chocolate Outer,Blueberry,Pear,Citrine,Dandy's Candies,2010-01-01,26194.29387800044
Pound,Candy Outer,Lemon,Wild Cherry Cream,White,Dandy's Candies,2010-01-01,20963.443691579083
Tiramisu,Chocolate Outer,Toasted Coconut,Vanilla,Citrine,Dandy's Candies,2010-01-01,27823.390177474535
Pound,Jelly Filled,Doughnut,Black Cherry,Rose,Dandy's Candies,2010-01-01,24324.5789214627
Butter,Chocolate Outer,Raspberry Ginger Ale,Apple,Olive,Dandy's Candies,2010-01-01,11261.7769513808
Cheese,Jelly Filled,Vanilla,Egg Nog,Tiffany,Dandy's Candies,2010-01-01,12844.23751275738
Sponge,Candy Outer,Cheesecake,Hazelnut,Black,Dandy's Candies,2010-01-01,14295.1665880885
Cheese,Chocolate Outer,Lemon,Mixed Berry,Citrine,Dandy's Candies,2010-01-01,26149.78015297914
Butter,Candy Outer,Ginger Lime,Vanilla,Burgundy,Dandy's Candies,2010-01-01,21328.15530801978
Sponge,Chocolate Outer,Lemon Bar,Black Currant,Burgundy,Dandy's Candies,2010-01-01,11418.50919431504
Pound,Chocolate Outer,Lemon,Dill Pickle,Slate,Dandy's Candies,2010-01-01,9150.1432962905
Chiffon,Candy Outer,Caramel Cream,Dill Pickle,Citrine,Dandy's Candies,2010-01-01,18636.56290006058
Butter,Jelly Filled,Cheesecake,Pear,Olive,Dandy's Candies,2010-01-01,13467.17315785082
Pound,Candy Outer,Apricot,Toffee,Olive,Dandy's Candies,2010-01-01,6869.746897288257
Tiramisu,Chocolate Outer,Wild Cherry Cream,Tangerine,Opal,Dandy's Candies,2010-01-01,32317.39041070571
Cheese,Chocolate Outer,Coconut,Black Currant,Citrine,Dandy's Candies,2010-01-01,20282.063404294324
Butter,Chocolate Outer,Butter Milk,Banana,Olive,Dandy's Candies,2010-01-01,13999.78154394999
Chiffon,Chocolate Outer,Pecan,Wild Cherry Cream,Taupe,Dandy's Candies,2010-01-01,5945.383789742515
Pound,Jelly Filled,Gingersnap,Kiwi,Slate,Bertie Bott,2010-01-01,19055.928529089793
Sponge,Jelly Filled,Orange Pineapple	P,Toffee,Burgundy,Bertie Bott,2010-01-01,14163.668465751609
Sponge,Candy Outer,Amaretto,Mango,Opal,Bertie Bott,2010-01-01,25367.603837769777
Butter,Jelly Filled,Apricot,Hazelnut,Amethyst,Bertie Bott,2010-01-01,27128.28160826337
Sponge,Chocolate Outer,Black Licorice,Black Currant,Burgundy,Bertie Bott,2010-01-01,29479.156570128463
Chiffon,Chocolate Outer,Sour,Tutti Frutti,Amethyst,Bertie Bott,2010-01-01,13012.207709584414
Sponge,Chocolate Outer,Lemon Bar,Lemon,Taupe,Bertie Bott,2010-01-01,11341.789127117063
Sponge,Candy Outer,Sassafras,Tangerine,White,Bertie Bott,2010-01-01,15252.830856387602
Butter,Chocolate Outer,Vanilla,Papaya,Amethyst,Bertie Bott,2010-01-01,27409.854975025773
Pound,Candy Outer,Wintergreen,Toffee,Citrine,Bertie Bott,2010-01-01,22662.986781934287
Cheese,Jelly Filled,Lemon Bar,Hazelnut,Citrine,Bertie Bott,2010-01-01,19535.113740242225
Chiffon,Chocolate Outer,Kettle Corn,Rock and Rye,Black,Bertie Bott,2010-01-01,16315.05206909332
Tiramisu,Jelly Filled,Butter Toffee,Butter Rum,Amethyst,Bertie Bott,2010-01-01,24618.87038608207
Chiffon,Jelly Filled,Cheesecake,Mojito,White,Bertie Bott,2010-01-01,8388.378230024142
Pound,Chocolate Outer,Pecan,Ginger Beer,Citrine,Bertie Bott,2010-01-01,10382.293924658188
Cheese,Candy Outer,Cream Soda,Ginger Beer,Taupe,Bertie Bott,2010-01-01,15180.165183214143
Pound,Chocolate Outer,Chocolate,Apricot,Teal,Bertie Bott,2010-01-01,16384.04421448187
Pound,Candy Outer,Creme de Menthe,Banana,Black,Bertie Bott,2010-01-01,24351.404908828186
Butter,Jelly Filled,Lemon Custard,Mango,Opal,Bertie Bott,2010-01-01,27967.57490891833
Tiramisu,Chocolate Outer,Lemon,Pear,Amethyst,Bertie Bott,2010-01-01,16591.493363744532
Cheese,Jelly Filled,Watermelon,Pear,Teal,Bertie Bott,2010-01-01,25301.848133081337
Pound,Candy Outer,Butter Toffee,Mojito,Taupe,Bertie Bott,2010-01-01,36191.05441875542
Sponge,Chocolate Outer,Toasted Coconut,Mojito,Amethyst,Bertie Bott,2010-01-01,5450.327628735761
Sponge,Chocolate Outer,Coffee,Papaya,White,Bertie Bott,2010-01-01,13412.955571690509
Pound,Jelly Filled,Black Licorice,Black Cherry,Teal,Bertie Bott,2010-01-01,12050.565212664438
Butter,Chocolate Outer,Spice,Black Cherry,Tiffany,Slugworth,2010-02-01,6546.4095903318
Tiramisu,Candy Outer,Spice,Rock and Rye,Taupe,Slugworth,2010-02-01,6224.693326622679
Sponge,Jelly Filled,Wild Cherry Cream,Wild Cherry Cream,Slate,Slugworth,2010-02-01,5299.39733922547
Sponge,Chocolate Outer,Fruit Punch,Pear,Teal,Slugworth,2010-02-01,1079.8784500502413
Pound,Chocolate Outer,Orange,Cucumber,Taupe,Slugworth,2010-02-01,1997.3742934401487
Butter,Candy Outer,Coconut,Wild Cherry Cream,Taupe,Slugworth,2010-02-01,5370.471422316272
Butter,Chocolate Outer,Irish Cream,Kiwi,Slate,Slugworth,2010-02-01,2645.234090042953
Cheese,Jelly Filled,Dill Pickle,Peppermint,Teal,Slugworth,2010-02-01,1584.6158772489973
Chiffon,Candy Outer,Coconut,Kiwi,White,Slugworth,2010-02-01,6004.278169619162
Butter,Candy Outer,Horchata,Cucumber,Tiffany,Slugworth,2010-02-01,6175.675583290498
Butter,Jelly Filled,Ginger Ale,Fuzzy Navel,Olive,Slugworth,2010-02-01,2385.7645646178858
Cheese,Jelly Filled,Lemon,Pear,Black,Slugworth,2010-02-01,3217.1982806760666
Cheese,Chocolate Outer,Chocolate,Fuzzy Navel,Rose,Slugworth,2010-02-01,1287.733126623531
Tiramisu,Candy Outer,Chocolate Mint,Fuzzy Navel,Amethyst,Slugworth,2010-02-01,5861.698514070599
Sponge,Chocolate Outer,Vanilla,Black Cherry,Slate,Slugworth,2010-02-01,4236.319640518203
Chiffon,Jelly Filled,Plum,Banana,Olive,Slugworth,2010-02-01,2806.294444843654
Tiramisu,Candy Outer,Bavarian Cream,Butter Rum,Rose,Slugworth,2010-02-01,7911.889106064052
Sponge,Jelly Filled,Cherry Cola,Vanilla,Rose,Slugworth,2010-02-01,5868.653298188868
Sponge,Chocolate Outer,Cheesecake,Mojito,Amethyst,Slugworth,2010-02-01,6125.1069522529515
Cheese,Candy Outer,Kettle Corn,Toffee,Opal,Slugworth,2010-02-01,1510.2135577518027
Butter,Candy Outer,Orange Pineapple	P,Dill Pickle,Slate,Slugworth,2010-02-01,2708.4518808116277
Sponge,Jelly Filled,Sassafras,Black Cherry,Amethyst,Slugworth,2010-02-01,1619.4420004494489
Chiffon,Jelly Filled,Chocolate,Black Currant,Rose,Slugworth,2010-02-01,3925.027913078158
Tiramisu,Candy Outer,Orange Pineapple	P,Apple,Rose,Slugworth,2010-02-01,2335.4988485460435
Butter,Chocolate Outer,Watermelon,Toffee,Teal,Slugworth,2010-02-01,1368.0217185602614
Chiffon,Jelly Filled,Lemon Bar,Apple,Tiffany,Perk-a-Cola,2010-02-01,8945.178964799046
Tiramisu,Jelly Filled,Vanilla,Tutti Frutti,Rose,Perk-a-Cola,2010-02-01,17607.18026485906
Cheese,Candy Outer,Pink Lemonade,Fuzzy Navel,Opal,Perk-a-Cola,2010-02-01,6744.68625465714
Tiramisu,Candy Outer,Gingersnap,Black Cherry,Black,Perk-a-Cola,2010-02-01,3386.332845795765
Cheese,Jelly Filled,Orange Brandy,Black Currant,Citrine,Perk-a-Cola,2010-02-01,12005.500754331035
Cheese,Jelly Filled,Dill Pickle,Passion Fruit,Rose,Perk-a-Cola,2010-02-01,22593.935531397627
Butter,Jelly Filled,Pink Lemonade,Kiwi,Opal,Perk-a-Cola,2010-02-01,13865.521659898715
Tiramisu,Jelly Filled,Pink Lemonade,Mango,Olive,Perk-a-Cola,2010-02-01,18545.81326531203
Sponge,Chocolate Outer,Dill Pickle,Tangerine,Amethyst,Perk-a-Cola,2010-02-01,3735.5526973160718
Sponge,Chocolate Outer,Fruit Punch,Ginger Beer,White,Perk-a-Cola,2010-02-01,6160.181860259622
Pound,Candy Outer,Cheesecake,Cucumber,Burgundy,Perk-a-Cola,2010-02-01,2612.8644975309708
Chiffon,Chocolate Outer,Cherry Cream Spice,Whipped Cream,Black,Perk-a-Cola,2010-02-01,8362.450357903961
Butter,Chocolate Outer,Plum,Fuzzy Navel,Taupe,Perk-a-Cola,2010-02-01,18536.395101133083
Cheese,Jelly Filled,Vanilla,Tutti Frutti,White,Perk-a-Cola,2010-02-01,3477.7864281753277
Butter,Jelly Filled,Wintergreen,Wild Cherry Cream,Slate,Perk-a-Cola,2010-02-01,13281.055680982689
Butter,Candy Outer,Watermelon,Dill Pickle,Amethyst,Perk-a-Cola,2010-02-01,6198.384041257044
Chiffon,Chocolate Outer,Ginger Lime,Egg Nog,Citrine,Perk-a-Cola,2010-02-01,19466.96233664603
Chiffon,Jelly Filled,Chocolate Mint,Whipped Cream,Amethyst,Perk-a-Cola,2010-02-01,4615.848461753213
Sponge,Chocolate Outer,Spice,Banana,White,Perk-a-Cola,2010-02-01,4362.494785234337
Cheese,Jelly Filled,Horchata,Tutti Frutti,Olive,Perk-a-Cola,2010-02-01,3495.8970315757956
Sponge,Jelly Filled,Acai Berry,Rum,Slate,Perk-a-Cola,2010-02-01,8344.231237166752
Butter,Jelly Filled,Orange,Passion Fruit,Slate,Perk-a-Cola,2010-02-01,20557.306238141457
Chiffon,Candy Outer,Irish Cream,Hazelnut,White,Perk-a-Cola,2010-02-01,5140.984269243608
Cheese,Chocolate Outer,Birch Beer,Apple,Olive,Perk-a-Cola,2010-02-01,10447.436482707111
Butter,Chocolate Outer,Chocolate Mint,Papaya,Amethyst,Perk-a-Cola,2010-02-01,16865.80992331749
Butter,Candy Outer,Amaretto,Ginger Beer,Amethyst,Fickelgruber,2010-02-01,1175.0334046203664
Butter,Jelly Filled,Coconut,Rum,White,Fickelgruber,2010-02-01,2075.060522486959
Chiffon,Jelly Filled,Orange Pineapple	P,Papaya,Olive,Fickelgruber,2010-02-01,3179.5936892587315
Sponge,Jelly Filled,Acai Berry,Fuzzy Navel,Citrine,Fickelgruber,2010-02-01,3445.960342720996
Chiffon,Candy Outer,Acai Berry,Lemon,Olive,Fickelgruber,2010-02-01,838.7764414898644
Tiramisu,Chocolate Outer,Pink Lemonade,Mojito,Opal,Fickelgruber,2010-02-01,2233.007242801753
Chiffon,Candy Outer,Sassafras,Lemon,Burgundy,Fickelgruber,2010-02-01,447.5064523718072
Sponge,Candy Outer,Vanilla,Rum,Opal,Fickelgruber,2010-02-01,3139.698260325904
Chiffon,Candy Outer,Pecan,Ginger Beer,Slate,Fickelgruber,2010-02-01,2830.1947620607366
Cheese,Jelly Filled,Pink Lemonade,Apple,White,Fickelgruber,2010-02-01,473.6916334108911
Cheese,Chocolate Outer,Orange Pineapple	P,Banana,White,Fickelgruber,2010-02-01,2446.34858130066
Cheese,Chocolate Outer,Wintergreen,Rum,Opal,Fickelgruber,2010-02-01,3804.266264517014
Chiffon,Candy Outer,Spice,Hazelnut,Olive,Fickelgruber,2010-02-01,2558.202732282469
Butter,Jelly Filled,Wild Cherry Cream,Kiwi,White,Fickelgruber,2010-02-01,2015.3823570527416
Butter,Candy Outer,Coffee,Apple,Burgundy,Fickelgruber,2010-02-01,2135.815935393847
Pound,Candy Outer,Watermelon,Egg Nog,Burgundy,Fickelgruber,2010-02-01,2274.444012334191
Sponge,Jelly Filled,Kettle Corn,Butter Rum,Olive,Fickelgruber,2010-02-01,896.0099128079092
Pound,Jelly Filled,Lemon Bar,Black Currant,Slate,Fickelgruber,2010-02-01,4017.7130610157133
Tiramisu,Chocolate Outer,Dill Pickle,Rum,Black,Fickelgruber,2010-02-01,2447.251895269259
Chiffon,Chocolate Outer,Kettle Corn,Mixed Berry,Rose,Fickelgruber,2010-02-01,2327.191627825803
Pound,Candy Outer,Apricot,Banana,Teal,Fickelgruber,2010-02-01,3409.9278415574067
Cheese,Candy Outer,Butter Toffee,Hazelnut,Black,Fickelgruber,2010-02-01,4164.570985388694
Chiffon,Chocolate Outer,Lemon,Cucumber,Tiffany,Fickelgruber,2010-02-01,1315.1822851795316
Tiramisu,Candy Outer,Gingersnap,Butter Rum,Tiffany,Fickelgruber,2010-02-01,2706.9749146629465
Cheese,Jelly Filled,Ginger Ale,Rum,Opal,Fickelgruber,2010-02-01,411.12999497509304
Pound,Jelly Filled,Margarita,Papaya,White,Zebrabar,2010-02-01,1561.8679953881158
Sponge,Chocolate Outer,Pecan,Wild Cherry Cream,Black,Zebrabar,2010-02-01,1031.7947331305577
Butter,Chocolate Outer,Orange,Mango,Tiffany,Zebrabar,2010-02-01,1923.6919015317371
Chiffon,Jelly Filled,Irish Cream,Apricot,Amethyst,Zebrabar,2010-02-01,860.2491735988964
Sponge,Candy Outer,Caramel Cream,Tangerine,Opal,Zebrabar,2010-02-01,3080.005465146043
Pound,Jelly Filled,Lemon Bar,Toffee,Slate,Zebrabar,2010-02-01,1092.6218123625058
Pound,Jelly Filled,Cherry Cream Spice,Apple,Rose,Zebrabar,2010-02-01,2432.533830559796
Cheese,Chocolate Outer,Butter Milk,Rum,Teal,Zebrabar,2010-02-01,3965.2142455523167
Tiramisu,Jelly Filled,Lemon Custard,Banana,Teal,Zebrabar,2010-02-01,3866.2544019289626
Pound,Jelly Filled,Grand Mariner,Mixed Berry,Olive,Zebrabar,2010-02-01,3047.504382815729
Pound,Candy Outer,Cream Soda,Black Currant,Opal,Zebrabar,2010-02-01,1187.5696902535906
Tiramisu,Chocolate Outer,Kettle Corn,Butter Rum,Citrine,Zebrabar,2010-02-01,1363.1821790546678
Tiramisu,Jelly Filled,Wild Cherry Cream,Mixed Berry,Citrine,Zebrabar,2010-02-01,1119.4454613304413
Tiramisu,Chocolate Outer,Bavarian Cream,Rum,Olive,Zebrabar,2010-02-01,2506.28934612063
Tiramisu,Jelly Filled,Lemon Bar,Vanilla,Amethyst,Zebrabar,2010-02-01,3872.838720100762
Cheese,Chocolate Outer,Watermelon,Black Currant,Teal,Zebrabar,2010-02-01,1471.3303233059514
Sponge,Candy Outer,Butter Milk,Hazelnut,Rose,Zebrabar,2010-02-01,367.5386412354482
Butter,Jelly Filled,Irish Cream,Tangerine,Opal,Zebrabar,2010-02-01,3859.228986852233
Pound,Candy Outer,Dill Pickle,Rock and Rye,Slate,Zebrabar,2010-02-01,737.6765016266165
Sponge,Chocolate Outer,Wintergreen,Ginger Beer,Slate,Zebrabar,2010-02-01,3767.624052037321
Butter,Jelly Filled,Fruit Punch,Papaya,Opal,Zebrabar,2010-02-01,3898.9198703167876
Butter,Candy Outer,Toasted Coconut,Rock and Rye,Teal,Zebrabar,2010-02-01,1408.1813220496504
Chiffon,Candy Outer,Sassafras,Black Currant,Black,Zebrabar,2010-02-01,3440.4845622671146
Chiffon,Jelly Filled,Cherry Cola,Apricot,Tiffany,Zebrabar,2010-02-01,3827.580097037707
Cheese,Candy Outer,Doughnut,Mango,Slate,Zebrabar,2010-02-01,3983.478655816692
Cheese,Chocolate Outer,Bavarian Cream,Papaya,Olive,Dandy's Candies,2010-02-01,18830.506819712205
Cheese,Candy Outer,Wild Cherry Cream,Kiwi,Burgundy,Dandy's Candies,2010-02-01,10442.58972723063
Sponge,Chocolate Outer,Apricot,Banana,Slate,Dandy's Candies,2010-02-01,10654.48405365778
Chiffon,Jelly Filled,Raspberry Ginger Ale,Mixed Berry,Taupe,Dandy's Candies,2010-02-01,13020.275495452728
Sponge,Jelly Filled,Chocolate,Egg Nog,Olive,Dandy's Candies,2010-02-01,15692.760368994159
Chiffon,Jelly Filled,Kettle Corn,Hazelnut,Rose,Dandy's Candies,2010-02-01,15875.964369957625
Chiffon,Jelly Filled,Wintergreen,Apple,Slate,Dandy's Candies,2010-02-01,11623.195171032923
