product,base_cake,truffle_type,primary_flavor,secondary_flavor,color_group,rate_kg_per_hr,cost_usd_per_kg,price_usd_per_kg,ebit_per_kg,ebit_per_hr,kg_produced
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.9455432068654072,1.0629794064869869,2.38467498495335,1.321695578466363,1.2497202757629144,2089.605800905917
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.975656040189884,0.77796203967247,2.034872755758755,1.2569107160862851,1.2263125321289765,1987.180683922939
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.9501912873081262,0.7651981033493496,2.034872755758755,1.2696746524094056,1.2064337924353907,2007.3605164182059
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.6343230990351126,0.5114188163296126,2.38467498495335,1.8732561686237372,1.1882496581680506,2961.6252186309134
TirChoButRocTif,Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,1.052128666460237,0.7602133182111777,1.8759383754032934,1.1157250571921158,1.1738863165598123,1763.9656133449535
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.9124241896097952,0.7663399922514494,2.034872755758755,1.2685327635073058,1.1574399787366274,2005.5551856652753
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.8994424057357773,0.7689659245358151,2.034872755758755,1.26590683122294,1.1386102857125158,2001.4035766082457
TirChoDilTutOpa,Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.9924736860043396,0.9888443939469719,2.116224251606953,1.1273798576599812,1.1188948428588492,1782.3918977805206
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.8757426681264833,0.7638846570086799,2.034872755758755,1.2709880987500752,1.1130585087563971,2009.437080142378
TirChoButRocTif,Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,1.0058611414363885,0.7814792442610952,1.8759383754032934,1.0944591311421983,1.1008739109061696,1730.3441023408031
TirChoButRocTif,Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.9953330279199316,0.7802246438379222,1.8759383754032934,1.0957137315653713,1.0906000661724082,1732.3276304427307
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.8465384161533145,0.7619913902303408,2.034872755758755,1.2728813655284144,1.0775429751254921,2012.4303422120524
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.8546537087449302,0.7776394601961683,2.034872755758755,1.257233295562587,1.074499098810176,1987.6906833175917
TirChoDilTutOpa,Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.8971915124430339,0.9300916152879815,2.116224251606953,1.1861326363189715,1.0641881339370611,1875.2802671640547
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.8363316262601541,0.762946262997758,2.034872755758755,1.271926492760997,1.0637523521741787,2010.9206846884663
TirChoButRocTif,Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.9440746711154476,0.7589571019803923,1.8759383754032934,1.1169812734229012,1.0545137283488393,1765.9516960449405
TirChoDilTutOpa,Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.7618172343346983,0.7365953232472774,2.116224251606953,1.3796289283596757,1.0510250946111117,2181.198650254364
TirCanChoCucBur,Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.8886634727854628,0.8090231285823154,1.9883349130043346,1.1793117844220191,1.0480113058412925,1864.4964740401267
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.7901925176495304,1.0584681172788732,2.38467498495335,1.3262068676744767,1.0479587436917923,2096.738166522043
TirChoDilTutOpa,Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.6852535339658008,0.5900865065143843,2.116224251606953,1.5261377450925686,1.0457912831432812,2412.8296538808972
TirJelBirHazSla,Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,0.9048585345851072,0.551765501073698,1.6823351835782194,1.1305696825045213,1.023005626157391,1787.4350231473763
TirChoButRocTif,Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.9299021080131568,0.7802545516719599,1.8759383754032934,1.0956838237313336,1.0188786974036832,1732.280346041908
TirChoFruDilOli,Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.7646209493862565,0.5496060016831467,1.867847181142801,1.3182411794596542,1.0079548221584993,2084.144382769497
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.5446158577764236,0.5372330179811999,2.38467498495335,1.84744196697215,1.0061461915347008,2920.812866379949
TirChoDilTutOpa,Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.9880335090256921,1.1056528672157317,2.116224251606953,1.0105713843912212,0.9984783910410098,1597.717251580532
TirCanBirMojOpa,Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,1.1132102698180313,0.7713836458321884,1.6671343148693072,0.8957506690371188,0.997158843968493,1416.1852583007303
TirChoFruDilOli,Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.8638895385762043,0.7214873974186284,1.867847181142801,1.1463597837241726,0.9903282246037928,1812.3992340012562
TirCanCheLemTau,Tiramisu,Candy Outer,Cherry Cola,Lemon,Taupe,1.6319282683260292,1.7606846506422413,2.363903316294113,0.6032186656518719,0.9844095924591972,953.6910340757091
TirChoDilTutOpa,Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.6453492596057784,0.6230802527550753,2.116224251606953,1.4931439988518775,0.9635993741438704,2360.66641397798
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.5233810292721472,0.5517598223550214,2.38467498495335,1.8329151625983284,0.9593130243692383,2897.8459327057167
TirJelWinFuzSla,Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,1.0902409057155291,1.2069024187774047,2.0780750491848314,0.8711726304074268,0.9497880376099729,1377.3272845492497
TirChoFruDilOli,Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.6695459186631598,0.4772211066609956,1.867847181142801,1.3906260744818053,0.931088012555864,2198.585180635949
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.6107246806478577,0.8660888319665188,2.38467498495335,1.5185861529868312,0.9274380433191413,2400.89055767197
TirCanChoCucBur,Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.7955432063019396,0.8277961825539847,1.9883349130043346,1.1605387304503498,0.9232587026600538,1834.816203394568
TirCanChoLemWhi,Tiramisu,Candy Outer,Chocolate Mint,Lemon,White,0.923602326325652,1.2619971831961652,2.255068204131625,0.9930710209354598,0.917202705142581,1570.0491095432003
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.4825039485436698,0.4946665840797934,2.38467498495335,1.8900084008735565,0.9119365162021982,2988.110562349748
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.7139139584792313,0.7622065883846281,2.034872755758755,1.272666167374127,0.908574141372655,2012.090113101152
TirChoDilTutOpa,Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.8476376083277117,1.0544615824539552,2.116224251606953,1.0617626691529978,0.8999899694924945,1678.6508699846715
TirChoFruDilOli,Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.7862682729927172,0.7325244318308555,1.867847181142801,1.1353227493119455,0.892668257390847,1794.949640079372
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.7065021306859813,0.7715180463617661,2.034872755758755,1.263354709396989,0.8925627940011415,1997.3686621702977
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.6926444800568117,0.7677098052912644,2.034872755758755,1.2671629504674908,0.8776934229738106,2003.3895059726221
TirJelWinFuzSla,Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.9989000303754559,1.2041223518159236,2.0780750491848314,0.8739526973689078,0.8729913759485136,1381.722581124546
TirChoDilTutOpa,Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.5323111424372345,0.48100815980286404,2.116224251606953,1.635216091804089,0.8704437459599844,2585.2829402163943
TirChoDilTutOpa,Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.5322465934955473,0.48692366969382483,2.116224251606953,1.629300581913128,0.8671896845035753,2575.930496291439
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.466411438460213,0.5423891839874219,2.38467498495335,1.8422858009659282,0.8592631704833442,2912.6609480618613
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.6834188193146665,0.7787777636151448,2.034872755758755,1.2560949921436104,0.8584389564778515,1985.8910212272908
TirJelWinFuzSla,Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.9900459905880614,1.2140886429081172,2.0780750491848314,0.8639864062767142,0.8553862774568488,1365.9658365162832
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.6698730137911024,0.7595108520605041,2.034872755758755,1.275361903698251,0.8543305221047052,2016.3520826139338
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.6094393434371561,0.9886582929870315,2.38467498495335,1.3960166919663184,0.8507874961792636,2207.107767644354
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.6678971470409919,0.7624786890029966,2.034872755758755,1.2723940667557585,0.8498283670980565,2011.6599209753426
TirChoFruDilOli,Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.7204852317910336,0.6902721223494892,1.867847181142801,1.1775750587933118,0.8484254391860393,1861.7507041310378
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.6378751872042413,1.0596502812365776,2.38467498495335,1.3250247037167724,0.8452003809335805,2094.8691607510564
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.4466265942842461,0.4958815687083128,2.38467498495335,1.8887934162450373,0.8435853708040274,2986.1896669717735
TirChoButRocTif,Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.7629365256014441,0.7723599898396228,1.8759383754032934,1.1035783855636705,0.8419602592107976,1744.7616787097552
TirJelWinFuzSla,Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.973222996514246,1.2138886309047292,2.0780750491848314,0.8641864182801022,0.8410460955454747,1366.282056264113
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.45086517782625,0.5281536097660702,2.38467498495335,1.8565213751872798,0.8370408399620471,2935.1674457431805
TirCanBirMojOpa,Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.9200816193433508,0.7616255171322119,1.6671343148693072,0.9055087977370953,0.8331420009515973,1431.6128973650282
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.5801225479831236,0.9485993560762116,2.38467498495335,1.4360756288771384,0.833099852920672,2270.4411012128176
TirJelWinFuzSla,Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.9536580968102066,1.208532840482613,2.0780750491848314,0.8695422087022184,0.8292459678471011,1374.7495815527097
TirChoFruDilOli,Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.7533866182902985,0.770066591174406,1.867847181142801,1.097780589968395,0.8270532063010179,1735.5953415397298
TirChoDilTutOpa,Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.5961352736094674,0.7319920518682126,2.116224251606953,1.3842321997387403,0.8251896411302889,2188.476440037091
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.6542649568989695,1.1238311302475896,2.38467498495335,1.2608438547057603,0.8249259502553948,1993.3989912313125
TirJelWinFuzSla,Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.9453296362164688,1.2056727307256148,2.0780750491848314,0.8724023184592167,0.8247077663434553,1379.2714260960547
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.6513133236805936,0.7734555336334398,2.034872755758755,1.2614172221253153,0.8215778434903807,1994.3054873303179
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.4974097977532849,0.7377306887667109,2.38467498495335,1.6469442961866392,0.8192062292771224,2603.82527652384
TirChoDilTutOpa,Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.6929796853176909,0.9377237816986298,2.116224251606953,1.178500469908323,0.8166768847838206,1863.2137826686796
TirCanChoCucBur,Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.6741670596884439,0.7781502335223507,1.9883349130043346,1.210184679481984,0.815866647046371,1913.3066400565094
TirCanCheLemTau,Tiramisu,Candy Outer,Cherry Cola,Lemon,Taupe,1.1355224211588189,1.649837638706709,2.363903316294113,0.7140656775874041,0.8108375870804617,1128.940586943507
TirJelBirHazSla,Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,0.9178599816023271,0.7998145250778492,1.6823351835782194,0.8825206585003702,0.8100303953748234,1395.2685606783364
TirChoFruDilOli,Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.5941381014025507,0.5095637993061244,1.867847181142801,1.3582833818366766,0.8070079096510789,2147.451258975563
TirChoButRocTif,Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,1.1947209160008274,1.2078178560728543,1.8759383754032934,0.6681205193304391,0.7982175588534107,1056.3011147522654
TirJelWinFuzSla,Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.9215540411947604,1.2142932294944355,2.0780750491848314,0.8637818196903959,0.7960216266462482,1365.6423843352188
TirChoDilTutOpa,Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.644035250113705,0.8848249938210095,2.116224251606953,1.2313992577859434,0.7930645289780007,1946.8469700765017
TirChoFruDilOli,Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.5820779351363036,0.5064956374130455,1.867847181142801,1.3613515437297554,0.7924126955688353,2152.3020347474962
TirChoFruDilOli,Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.6954827694383467,0.7359837023963507,1.867847181142801,1.1318634787464503,0.7871915468247026,1789.4805199897448
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.6199043374686214,0.7662392673971512,2.034872755758755,1.268633488361604,0.7864314020933061,2005.7144320479263
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.6212484542810692,0.769212080654176,2.034872755758755,1.2656606751045791,0.7862897380530544,2001.0144028368904
TirJelWinFuzSla,Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.8928191828316123,1.202052377368916,2.0780750491848314,0.8760226718159154,0.7821298459926513,1384.9952186990874
TirJelWinFuzSla,Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.9128181916815126,1.2216808133181922,2.0780750491848314,0.8563942358666392,0.7817322377502564,1353.9625858518848
TirJelWinFuzSla,Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.9071739380401848,1.22080988779842,2.0780750491848314,0.8572651613864115,0.7776886123995654,1355.339522453568
TirJelBirHazSla,Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,0.8900410015102792,0.8114776279939967,1.6823351835782194,0.8708575555842227,0.7750989309449753,1376.829150040053
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.6171055814230751,0.7802862628443579,2.034872755758755,1.2545864929143973,0.7742123271554758,1983.5060781349614
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.4931174861157325,0.8156179390163653,2.38467498495335,1.5690570459369848,0.7737294660646233,2480.685233846886
TirChoButRocTif,Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.6988381675730017,0.7699213183734309,1.8759383754032934,1.1060170570298626,0.7729269334392332,1748.6172276918983
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.6029950694929124,0.7606034395507486,2.034872755758755,1.2742693162080065,0.7683781148795328,2014.624697583062
TirChoButRocTif,Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.7006073742684339,0.7816826935044411,1.8759383754032934,1.0942556818988525,0.7666436000734697,1730.0224483033592
TirCanCheLemTau,Tiramisu,Candy Outer,Cherry Cola,Lemon,Taupe,1.2712065913114392,1.7613344194838956,2.363903316294113,0.6025688968102176,0.7659895533444111,952.6637470340561
TirCanChoCucBur,Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.6248218809360726,0.7701098580234498,1.9883349130043346,1.2182250549808848,0.761173670256607,1926.0185046928884
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.6056598951021094,0.7795659071124159,2.034872755758755,1.2553068486463392,0.7602890142721013,1984.6449633220695
TirJelWinFuzSla,Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.8852332948200017,1.2245593602935858,2.0780750491848314,0.8535156888912456,0.7555605054577609,1349.4115919952342
TirCanBirMojOpa,Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.8466285026014899,0.77545972197737,1.6671343148693072,0.8916745928919372,0.7549171253878939,1409.7409662136004
TirJelWinFuzSla,Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.8814992658893317,1.2234112950997373,2.0780750491848314,0.8546637540850941,0.7533854718082308,1351.2266874892114
TirCanChoCucBur,Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.6221306193731369,0.7777465109303625,1.9883349130043346,1.2105884020739721,0.7531441123882163,1913.9449270296368
TirCanChoLemWhi,Tiramisu,Candy Outer,Chocolate Mint,Lemon,White,0.6513144178997888,1.100374476240471,2.255068204131625,1.154693727891154,0.7520686732339641,1825.5752318327368
TirCanBirMojOpa,Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.8443517147067439,0.7794221504695303,1.6671343148693072,0.8877121643997768,0.7495412881769865,1403.476351503683
TirCanButManTif,Tiramisu,Candy Outer,Butter Pecan,Mango,Tiffany,0.8425864019531584,1.3062213329554493,2.195318949624385,0.8890976166689355,0.7491415618142068,1405.6667568781727
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.5973075602353097,0.7807735767564067,2.034872755758755,1.2540991790023486,0.7490829209029978,1982.735632962813
TirJelWinFuzSla,Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.8567031487189971,1.2038341877172327,2.0780750491848314,0.8742408614675987,0.7489648987581004,1382.1781696746236
TirJelWinFuzSla,Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.8629445062688872,1.2112015121701607,2.0780750491848314,0.8668735370146707,0.748063756396689,1370.5304013346117
TirChoButRocTif,Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,1.1234101196791406,1.211654073858581,1.8759383754032934,0.6642843015447124,0.7462637066993197,1050.2360396554004
TirCanBirMojOpa,Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.8251456888355541,0.7650366997996356,1.6671343148693072,0.9020976150696716,0.7443619579835746,1426.2198044274933
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.4762807856189585,0.825519879105896,2.38467498495335,1.559155105847454,0.7425956187148357,2465.0302284217223
TirChoDilTutOpa,Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.6177436804772635,0.916215217481305,2.116224251606953,1.200009034125648,0.7412979973467438,1897.2189055501765
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.5785643087145782,0.7609312541762421,2.034872755758755,1.273941501582513,0.7370570842058984,2014.1064213973705
TirCanButManTif,Tiramisu,Candy Outer,Butter Pecan,Mango,Tiffany,0.7963991759340996,1.272803361884001,2.195318949624385,0.9225155877403839,0.7346906538628033,1458.5006978726888
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.575704307072843,0.7623921546067931,2.034872755758755,1.272480601151962,0.7325725627498251,2011.7967321890826
TirJelBirHazSla,Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,0.8322271241759057,0.8033497903574547,1.6823351835782194,0.8789853932207647,0.7315154859927447,1389.6792926529588
TirChoButRocTif,Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.6677493845913234,0.7804816673851593,1.8759383754032934,1.095456708018134,0.731490542625546,1731.921275224459
TirChoDilTutOpa,Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.4651861626201986,0.5493275685460274,2.116224251606953,1.5668966830609254,0.7288986552154294,2477.269691817826
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.3936699512600368,0.5371104866802286,2.38467498495335,1.8475644982731212,0.7273306259849539,2921.0065888387912
TirChoButRocTif,Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.6525577016615042,0.7641287470574497,1.8759383754032934,1.1118096283458438,0.725519935758495,1757.7753052562348
TirChoDilTutOpa,Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.6353987359402034,0.9754229154063832,2.116224251606953,1.1408013362005698,0.724863726980737,1803.6113070545466
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.5688485821377673,0.7629728395157719,2.034872755758755,1.2718999162429832,0.723518463975966,2010.87866711111
TirCanChoCucBur,Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,0.6174944654110599,0.8227933098007741,1.9883349130043346,1.1655416032035606,0.7197154891845323,1842.7257644891383
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.4247436651300792,0.6984418730324634,2.38467498495335,1.6862331119208864,0.7162168322209764,2665.9410455455304
TirJelWinFuzSla,Tiramisu,Jelly Filled,Wintergreen,Fuzzy Navel,Slate,0.8279425029116054,1.213629040297835,2.0780750491848314,0.8644460088869965,0.7157115922298478,1366.6924700135912
TirChoDilTutOpa,Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.5864692691506379,0.8994504427805743,2.116224251606953,1.2167738088263786,0.7136004463840443,1923.7240789322173
TirCanBirMojOpa,Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.7886840308318482,0.7626471787877115,1.6671343148693072,0.9044871360815957,0.7133545603203874,1429.997646352104
TirCanButManTif,Tiramisu,Candy Outer,Butter Pecan,Mango,Tiffany,0.7629258593323356,1.265950874906034,2.195318949624385,0.9293680747183508,0.7090389370405361,1469.3345061815637
TirJelBirHazSla,Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,0.9047381337158884,0.9010377335778554,1.6823351835782194,0.781297450000364,0.7068695967903119,1235.2342781143009
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.5597454489313403,0.7736345790941132,2.034872755758755,1.261238176664642,0.7059723294064951,1994.0224157672862
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.5507420417622793,0.7581391694586408,2.034872755758755,1.2767335863001144,0.7031508621054021,2018.520718091387
TirJelBirHazSla,Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,0.7819245497947472,0.7837383459924325,1.6823351835782194,0.8985968375857869,0.70263492767625,1420.6850617400019
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,0.5496292409587101,0.7652820894151715,2.034872755758755,1.2695906663435836,0.6978041542706869,2007.2277341246156
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.3646170555123032,0.47387971855343014,2.38467498495335,1.9107952663999197,0.6967085437215857,3020.9746768207533
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.3571797138653936,0.43516743016776593,2.38467498495335,1.949507554785584,0.696324550596738,3082.178953883473
TirChoButRocTif,Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,0.6352346325245115,0.7808113243916438,1.8759383754032934,1.0951270510116498,0.6956626298170373,1731.4000862273238
TirChoFruDilOli,Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.4923528374455822,0.45702861110943677,1.867847181142801,1.4108185700333642,0.6946205260768458,2230.509593887195
TirCanBirMojOpa,Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.7817578841210834,0.7796946624807455,1.6671343148693072,0.8874396523885617,0.6937629449364318,1403.0455089641985
TirChoButRocTif,Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,1.03283505639939,1.2053501826305344,1.8759383754032934,0.670588192772759,0.6926069939032176,1060.202515970386
TirChoButRocTif,Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,1.0505726291358275,1.2183101462589518,1.8759383754032934,0.6576282291443416,0.6908862176861094,1039.7127635503207
